ano,tipo_despesa,esfera_governo,valor_despesa
2019,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005298826849073989
2019,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-7.307641539551623e-05
2019,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01804617159716886
2020,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006859543188898719
2020,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.00589556304029622
2020,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005585098387581008
2020,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-4.199385652387291e-05
2020,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01829821076025208
2021,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.0056285038195302865
2021,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.011296253368805315
2021,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005204824385087115
2021,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00018799202310983154
2021,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.021941589550312886
2022,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.006592559191932021
2022,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.01037250295768426
2022,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005464565322519316
2022,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.002601198163256632
2022,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01982842930887897
2023,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.008577802457437108
2023,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008248355879580114
2023,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.005594449772229092
2023,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00012046588091886374
2023,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.02230014222832745
